ID,Kael,angularity,surface_roughness,asymmetricity1,asymmetricity2,polygonality,area,perimeter,elongation,bulkiness,surface,circularity,sphericity
8_Drawing of 27_particle_5,0.820779017,2.628900995,0.158362143,0.6613277,38.86385649,3.0,15551,662,1.338066609,1.510012697,2.242579219,0.667768768,0.730666892
8_Drawing of 28_particle_1,0.804407426,1.527893619,0.092746832,0.373030703,25.04098606,3.464101615,15631,600,1.181637937,1.321576882,1.832761164,0.738664221,0.742216948
8_Drawing of 28_particle_2,0.938042355,1.769493143,0.165034387,1.132995288,67.89525014,3.872983346,15567,598,1.137430317,1.344429909,1.828047931,0.739615852,0.690710632
8_Drawing of 28_particle_3,0.40934421,1.49496451,0.145928722,2.373661998,133.2048592,4.242640687,15796,712,2.626241503,1.351656669,2.553894767,0.625746603,0.578313144
8_Drawing of 28_particle_4,0.795671562,1.89154105,0.070484007,1.403965201,527.7676715,4.898979486,15772,610,1.305161357,1.401798105,1.877426906,0.729824572,0.802102859
8_Drawing of 28_particle_5,0.771471255,2.095370389,0.200869478,2.54472343,44.53946565,5.916079783,15728,686,1.30308889,1.618508731,2.381029997,0.648063507,0.64267791
8_Drawing of 28_particle_6,0.475215739,1.41877546,0.113921092,1.084027304,40.36260175,4.0,15802,684,2.496765722,1.269343725,2.356081352,0.651485657,0.592425954
8_Drawing of 29_particle_1,0.537413548,2.943528018,0.108164211,1.15815129,67.20540568,3.464101615,16341,732,1.997132222,1.485185947,2.609358002,0.619060602,0.612437841
8_Drawing of 29_particle_2,0.655246175,2.317781599,0.108846385,1.401554126,42.24123109,3.464101615,15852,640,1.580507669,1.289862909,2.056203151,0.697375988,0.720470023
8_Drawing of 29_particle_3,0.896675615,2.229569334,0.168730616,1.078060269,52.49203073,3.0,15907,654,1.160024497,1.549931129,2.139721998,0.683630333,0.690745082
8_Drawing of 29_particle_4,0.951230052,1.82710845,0.10125831,0.824465668,26.34999806,3.464101615,15835,592,1.106237884,1.266391756,1.761227596,0.753515619,0.846732001
8_Drawing of 29_particle_5,0.720351899,1.775614973,0.142696006,0.933407998,39.19505715,3.464101615,15945,602,1.518376513,1.223600528,1.808666917,0.743568019,0.756309609
8_Drawing of 29_particle_6,0.66836236,2.070923851,0.116002553,0.747217291,46.55176779,4.0,15999,636,1.586062225,1.336474146,2.011923803,0.705008309,0.723163652
8_Drawing of 29_particle_7,0.610802645,1.934716934,0.080257882,1.600957059,42.1588328,4.472135955,15871,618,1.77450826,1.298735479,1.914973615,0.722634352,0.693740057
8_Drawing of 3_particle_1,0.633489634,1.888170816,0.159071843,1.908659185,73.55900686,4.0,8220,464,1.627366841,1.403648976,2.084271449,0.692664389,0.642344951
8_Drawing of 3_particle_2,0.634799299,2.149766191,0.143696213,1.055922363,38.22036002,3.464101615,8772,486,1.58851971,1.478615786,2.142713232,0.683152991,0.700042172
8_Drawing of 3_particle_3,0.727406824,2.825363496,0.177093526,1.149566215,32.56098958,3.464101615,8397,488,1.452814849,1.366033289,2.256865236,0.665651916,0.681949973
8_Drawing of 3_particle_4,0.439300839,1.883401386,0.167910221,1.301224393,46.92524878,3.464101615,8498,530,2.60868248,1.494859952,2.630420306,0.61657715,0.564669495
8_Drawing of 3_particle_5,0.615949729,1.872625149,0.083256287,1.013267821,82.44060713,3.464101615,8475,486,1.893246705,1.349099933,2.217803005,0.671488402,0.673688115
8_Drawing of 3_particle_6,0.44725909,1.473150613,0.126109986,1.837427551,81.06491665,3.464101615,8442,512,2.531128093,1.402653549,2.471068076,0.636147237,0.59159831
8_Drawing of 30_particle_1,0.732169051,2.782522535,0.188804607,1.076814286,46.47819753,3.464101615,16138,698,1.398753676,1.305051851,2.402432919,0.645170297,0.733157061
8_Drawing of 30_particle_2,0.899545529,1.720325345,0.137464409,0.513220925,36.34458226,3.0,16119,644,1.087358454,1.422050087,2.047499363,0.698856666,0.740941936
8_Drawing of 30_particle_3,0.581323622,1.672885336,0.242677413,1.350864311,34.03191239,3.0,16077,682,1.902762635,1.489992098,2.302257379,0.659057131,0.586954028
8_Drawing of 30_particle_4,0.528659663,1.759419766,0.203431142,1.210375127,41.6607428,3.0,16203,696,1.974818121,1.439599486,2.379102663,0.648325955,0.593348945
8_Drawing of 30_particle_5,0.629027616,1.438795709,0.082252563,1.217626203,31.3389364,3.464101615,15985,652,1.721854057,1.457251989,2.116277852,0.687406535,0.660387231
8_Drawing of 31_particle_1,0.7466889,2.000224458,0.16381129,0.56847702,27.47987526,3.464101615,16646,650,1.421177712,1.368933695,2.019793448,0.70363352,0.713605869
8_Drawing of 31_particle_2,0.684392404,1.920626386,0.146020191,0.861601159,37.65262934,3.464101615,16495,642,1.502372964,1.444560771,1.988418853,0.709162992,0.688271293
8_Drawing of 4_particle_1,0.532706314,1.736206845,0.14832703,0.98496118,58.83452266,3.464101615,8662,514,2.103770082,1.335964829,2.427158817,0.641875653,0.579169889
8_Drawing of 4_particle_2,0.916751555,1.754873733,0.095111432,1.35579606,121.9774303,4.242640687,8296,452,1.116591831,1.252915141,1.959739121,0.714333255,0.851888269
8_Drawing of 4_particle_3,0.668508263,2.365717678,0.096814666,0.57822221,82.93142706,4.0,8429,464,1.655772804,1.386079623,2.032591211,0.701414886,0.718203476
8_Drawing of 4_particle_4,0.642167028,1.553078441,0.092410379,1.838235534,141.0101567,4.898979486,8453,476,1.583339626,1.357305443,2.13301138,0.684704865,0.691071971
8_Drawing of 4_particle_5,0.602048878,1.830203422,0.109096015,1.198953958,61.74668822,3.0,8509,458,1.816511941,1.406041589,1.961745063,0.713967949,0.644220624
